Year,OSHPD ID,Facility Name,County Name,Type of Control,Principal Injury Group,Count
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Rail & Motor Vehicles,116
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Other Vehicle/Transport,13
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Accidental Poisoning,39
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Misadventures/Complications,18
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Accidental Falls,202
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Natural/Environment,26
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,134
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Other Accidents,132
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Adverse Effects of Drugs,488
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Self-Inflicted,20
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Inflicted by Others,40
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Undetermined,15
2009,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Late Effects of Injury,26
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Rail & Motor Vehicles,350
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Other Vehicle/Transport,39
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Accidental Poisoning,76
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Misadventures/Complications,31
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Accidental Falls,568
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Fire Accidents,1
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Natural/Environment,18
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,31
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Other Accidents,118
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Adverse Effects of Drugs,472
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Self-Inflicted,116
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Inflicted by Others,157
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Undetermined,10
2009,010805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Late Effects of Injury,63
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Other Vehicle/Transport,1
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Accidental Poisoning,10
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Accidental Falls,14
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Natural/Environment,6
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,1
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Other Accidents,23
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Adverse Effects of Drugs,52
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Self-Inflicted,88
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Inflicted by Others,9
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Undetermined,4
2009,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Late Effects of Injury,65
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Rail & Motor Vehicles,326
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Other Vehicle/Transport,33
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Accidental Poisoning,70
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Misadventures/Complications,436
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Accidental Falls,333
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Fire Accidents,4
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Natural/Environment,22
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Submersion/Suffocation/Foreign Body,11
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Other Accidents,123
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Adverse Effects of Drugs,301
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Self-Inflicted,55
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Inflicted by Others,356
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Undetermined,13
2009,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Late Effects of Injury,162
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Rail & Motor Vehicles,96
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Other Vehicle/Transport,32
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Accidental Poisoning,73
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Accidental Falls,645
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Fire Accidents,3
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Natural/Environment,48
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,40
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Other Accidents,230
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Adverse Effects of Drugs,1094
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Self-Inflicted,54
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Inflicted by Others,31
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Undetermined,13
2009,010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Late Effects of Injury,123
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Rail & Motor Vehicles,37
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Other Vehicle/Transport,16
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Accidental Poisoning,61
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Accidental Falls,568
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Fire Accidents,1
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Natural/Environment,22
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,14
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Other Accidents,175
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Adverse Effects of Drugs,767
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Self-Inflicted,58
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Inflicted by Others,9
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Undetermined,1
2009,010858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Late Effects of Injury,42
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Misadventures/Complications,71
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Accidental Falls,1
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Fire Accidents,1
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Submersion/Suffocation/Foreign Body,1
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Other Accidents,3
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Adverse Effects of Drugs,17
2009,010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Late Effects of Injury,6
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Rail & Motor Vehicles,14
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Other Vehicle/Transport,6
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Accidental Poisoning,102
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Misadventures/Complications,28
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Accidental Falls,431
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Natural/Environment,8
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,14
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Other Accidents,84
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Adverse Effects of Drugs,747
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Self-Inflicted,24
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Inflicted by Others,10
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Undetermined,8
2009,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Late Effects of Injury,34
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Rail & Motor Vehicles,12
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Other Vehicle/Transport,1
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Accidental Poisoning,56
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Misadventures/Complications,106
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Accidental Falls,206
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Fire Accidents,1
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Natural/Environment,18
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,57
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Other Accidents,88
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Adverse Effects of Drugs,341
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Self-Inflicted,28
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Inflicted by Others,7
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Undetermined,9
2009,010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Late Effects of Injury,24
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Rail & Motor Vehicles,23
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Other Vehicle/Transport,17
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Accidental Poisoning,49
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Misadventures/Complications,71
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Accidental Falls,468
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Fire Accidents,1
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Natural/Environment,18
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Submersion/Suffocation/Foreign Body,18
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Other Accidents,181
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Adverse Effects of Drugs,904
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Self-Inflicted,45
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Inflicted by Others,4
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Undetermined,4
2009,010987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Late Effects of Injury,83
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Rail & Motor Vehicles,5
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Other Vehicle/Transport,2
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Accidental Poisoning,59
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Late Effects of Injury,3
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Misadventures/Complications,366
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Accidental Falls,193
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Fire Accidents,2
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Natural/Environment,7
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,40
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Other Accidents,55
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Adverse Effects of Drugs,571
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Self-Inflicted,18
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Inflicted by Others,5
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Undetermined,1
2009,013619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Late Effects of Injury,18
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Accidental Falls,4
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Submersion/Suffocation/Foreign Body,1
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Other Accidents,14
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Adverse Effects of Drugs,25
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Self-Inflicted,1
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Inflicted by Others,1
2009,014034,FREMONT HOSPITAL,ALAMEDA,Investor,Undetermined,1
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Rail & Motor Vehicles,14
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Other Vehicle/Transport,13
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Accidental Poisoning,44
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Misadventures/Complications,7
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Accidental Falls,240
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Natural/Environment,13
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Submersion/Suffocation/Foreign Body,11
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Other Accidents,67
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Adverse Effects of Drugs,541
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Self-Inflicted,32
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Inflicted by Others,4
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Undetermined,2
2009,014050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Late Effects of Injury,17
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Rail & Motor Vehicles,14
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Other Vehicle/Transport,4
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Accidental Poisoning,22
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Misadventures/Complications,13
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Accidental Falls,180
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Natural/Environment,6
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Other Accidents,19
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Adverse Effects of Drugs,49
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Self-Inflicted,11
2009,034002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Inflicted by Others,2
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Rail & Motor Vehicles,2
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Other Vehicle/Transport,3
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Accidental Poisoning,5
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Misadventures/Complications,2
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Accidental Falls,54
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Other Accidents,7
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Adverse Effects of Drugs,4
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Self-Inflicted,13
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Undetermined,1
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Rail & Motor Vehicles,16
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Other Vehicle/Transport,6
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Accidental Poisoning,64
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Misadventures/Complications,16
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Accidental Falls,263
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Fire Accidents,1
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Natural/Environment,14
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Submersion/Suffocation/Foreign Body,9
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Other Accidents,49
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Adverse Effects of Drugs,285
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Self-Inflicted,20
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Inflicted by Others,3
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Undetermined,5
2009,040875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Late Effects of Injury,3
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Rail & Motor Vehicles,47
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Other Vehicle/Transport,11
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Accidental Poisoning,116
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Misadventures/Complications,20
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Accidental Falls,339
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Fire Accidents,4
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Natural/Environment,42
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Submersion/Suffocation/Foreign Body,23
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Other Accidents,113
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Adverse Effects of Drugs,448
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Self-Inflicted,44
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Inflicted by Others,17
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Undetermined,1
2009,040937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Late Effects of Injury,52
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Rail & Motor Vehicles,275
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Other Vehicle/Transport,53
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Accidental Poisoning,110
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Misadventures/Complications,35
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Accidental Falls,696
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Fire Accidents,4
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Natural/Environment,30
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Submersion/Suffocation/Foreign Body,9
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Other Accidents,118
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Adverse Effects of Drugs,582
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Self-Inflicted,79
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Inflicted by Others,69
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Undetermined,18
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Late Effects of Injury,97
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Rail & Motor Vehicles,10
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Other Vehicle/Transport,3
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Accidental Poisoning,33
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Misadventures/Complications,73
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Accidental Falls,125
